instrument_id,signal_date,session_date,arm,paid_bps,entry_price,stop_price,exit_date,exit_price,exit_reason,shares,net_r,per_dollar
TBBK,2025-11-17,2025-11-18,O,60.63668519454269833249115715,59.64951490651844365841334009,54.06639073211805475640767258,2025-11-25,65.13952002269600779313988062,target,179,0.9833213349167851026772562874,0.092038
TBBK,2025-11-17,2025-11-18,A,0,59.290000,53.70687582559961109799433249,2025-11-25,64.78051832076323997167280191,target,179,0.9834132555994790271067160481,0.092604
TBBK,2025-11-17,2025-11-18,C,13.35782267490399064952412756,59.93995992653197528802805144,54.35683575213158638602238393,2025-11-25,65.42955043482136828851129278,target,179,0.9832470740056500459489572180,0.091585
TBBK,2025-11-17,2025-11-18,X,0,59.670000,54.08687582559961109799433249,2025-11-25,65.15997587387433242276021480,target,179,0.9833160972931324185591218385,0.092006
SOXL,2025-11-18,2025-11-19,O,1.439470274938822513315100043,34.70499496185403771412120340,26.86539019341376604964075079,2025-12-02,42.53870631019037610399594862,target,127,0.9992482503547043226990776185,0.225723
SOXL,2025-11-18,2025-11-19,A,0,34.720000,26.88039523155972833551954739,2025-12-02,42.55370926978831983297131278,target,127,0.9992479852204175886956627785,0.225625
SOXL,2025-11-18,2025-11-19,C,1.390627172854957585871227924,35.96500069531358642747879294,28.12539592687331476299834033,2025-11-21,28.12149990305742983229284118,stop,127,-1.000496966866438097747228271,-0.218087
SOXL,2025-11-18,2025-11-19,X,0,35.960000,28.12039523155972833551954739,2025-11-21,28.11649990045686648092257834,stop,127,-1.000496878505730697707311568,-0.218117
CTKB,2025-11-20,2025-11-21,O,76.4818355640535372848948375,5.270000000000000000000000001,4.520458100849964926139956355,2025-12-22,5.095652173913043478260869565,time,1334,-0.2326058440290840722567118491,-0.033083
CTKB,2025-11-20,2025-11-21,A,0,5.220000,4.470458100849964926139956354,2025-12-22,5.095652173913043478260869565,time,1334,-0.1658984323997956226070313928,-0.023821
CTKB,2025-11-20,2025-11-21,C,8.52514919011082693947144075,5.864995737425404944586530264,5.115453838275369870726486618,2025-12-04,5.110882387124096081744604146,stop,1334,-1.006098993473824104455520702,-0.128579
CTKB,2025-11-20,2025-11-21,X,0,5.880000,5.130458100849964926139956354,2025-12-04,5.125873241063682562488356750,stop,1334,-1.006116882580522182018590190,-0.128253
VONG,2025-11-21,2025-11-24,O,5.477143459026753739203707605,118.6449479671371392458394776,113.9843474943576775841288487,2025-12-02,123.3003937411816016767107791,target,214,0.9988939839908815222376818758,0.039238
VONG,2025-11-21,2025-11-24,A,0,118.580000,113.9193995272205383382893711,2025-12-02,123.2354484891469722397942495,target,214,0.9988945665558376189154962419,0.03926
VONG,2025-11-21,2025-11-24,C,0.4149549773849537325200215778,120.5050002074774886924768662,115.8443997346980270307662373,2025-12-23,123.3048811902568571310012864,time,214,0.6007554174901398032828189647,0.023235
VONG,2025-11-21,2025-11-24,X,0,120.220000,115.5593995272205383382893711,2025-12-23,123.3048811902568571310012864,time,214,0.6619063805778472409035986654,0.02566
XPEV,2025-11-26,2025-11-28,O,18.50138760407030527289546716,21.53977798334875115633672526,18.91644096117448310938209334,2025-12-03,18.91211720324050037038566315,stop,381,-1.001648190033318377091966991,-0.121991
XPEV,2025-11-26,2025-11-28,A,0,21.500000,18.87666297782573195304536808,2025-12-03,18.87234831200222892859895771,stop,381,-1.001644724176509716324352226,-0.122216
XPEV,2025-11-26,2025-11-28,C,2.293052052281586792020178858,21.81500114652602614079339601,19.19166412435175809383876409,2025-12-03,19.18727745826619197770302952,stop,381,-1.001672170235271703604485670,-0.120455
XPEV,2025-11-26,2025-11-28,X,0,21.830000,19.20666297782573195304536808,2025-12-03,19.20227288343080035717038628,stop,381,-1.001673477085797008315775839,-0.120372
WDC,2025-12-01,2025-12-02,O,11.02338745717265008193058245,167.1840905705347832563682407,147.1561869187584226934227067,2025-12-11,187.0703815186634046787545358,target,49,0.9929292298330395201753929701,0.118948
WDC,2025-12-01,2025-12-02,A,0,167.000000,146.9720963482236394370544660,2025-12-11,186.8864301996948353280265132,target,49,0.9929361827108161992549498875,0.11908
