regime,arm,period,instrument_id,signal_date,entry_date,exit_date,entry_price,stop_price,exit_price,shares,initial_risk_per_share,costs,mfe,mae,exit_reason,gross_r,net_r,holding_days
1x,A,primary,AEP,2022-03-30,2022-03-31,2022-04-29,99.8599029990,96.37954835666991567708963132,99.0604459995,287,3.48035464233008432291036868,2.870,1.422296147867830516064121707,-0.4769358785484858480860701949,time,-0.2297056138407684081025497250,-0.2325788842478626224062240995,29
1x,A,primary,AEP,2022-05-27,2022-05-31,2022-06-09,102.8313889995,98.68953945284657481864714968,98.64019468312015153123782611,241,4.14184954665342518135285032,2.410,0.07692529555001249550570021488,-1.125437065493206855703319559,stop,-1.011913704051923708669308369,-1.014328084363753215937192129,9
1x,A,primary,AEP,2022-07-29,2022-08-01,2022-08-29,98.3291389995,94.54658221144966759364940324,102.8785350000,264,3.78255678805033240635059676,2.640,1.890484241529607242728309859,-0.4227658933110830999285167979,time,1.202730389897179697090507627,1.200086675457361765270328397,28
1x,A,primary,AEP,2023-04-05,2023-04-06,2023-05-02,95.3776670010,91.18149846978491195830840494,91.13590772055001950232925074,238,4.19616853121508804169159506,2.380,0.1602261667991945739977740597,-1.107597077292358425930403217,stop,-1.010864851803674030336850777,-1.013247978202342363043482689,26
1x,A,holdout,AEP,2023-12-13,2023-12-14,2023-12-20,83.9619579990,80.84696554122074042811625315,80.80654205845013005790219502,321,3.11499245777925957188374685,3.210,0.2337225565929739458787345398,-1.178801248725273508289049824,stop,-1.012977072438701530474098097,-1.016187353084815582389467626,6
1x,A,holdout,AEP,2024-02-15,2024-02-16,2024-03-18,81.3106319985,78.07019318936931284994330261,82.1189239980,308,3.24043880913068715005669739,3.080,1.493430453882959846434229005,-0.1946131482943137909708495631,time,0.2494390565939557356353414400,0.2463530547932666798774000744,31
1x,A,holdout,AEP,2024-04-24,2024-04-25,2024-05-23,86.5332429990,83.18021143313192577459720643,89.2353590005,298,3.35303156586807422540279357,2.980,2.059855049176041062334727796,-0.4125344399022648287028178225,time,0.8058725211554764577423724312,0.8028901454147306122767059105,28
1x,A,holdout,AEP,2024-07-11,2024-07-12,2024-08-09,91.2956250000,88.50128719886998072186766718,97.4812340005,357,2.79433780113001927813233282,3.570,4.693197434718378151233906701,-0.5209209135027802742243807639,time,2.213622489735694772511531310,2.210043824337418286715876093,28
1x,A,holdout,AEP,2024-09-04,2024-09-05,2024-10-03,103.0915210005,99.97226600156244238466774061,101.3193179985,320,3.11925499893755761533225939,3.200,0.6695441700698891577281871203,-0.8179901936100342716237921070,time,-0.5681494467761135441252708247,-0.5713553404922111627440506546,28
1x,A,holdout,AEP,2025-01-16,2025-01-17,2025-02-18,97.6888189995,94.32432065532564070524227968,102.1488970015,297,3.36449834417435929475772032,2.970,1.649927695792118889079903687,-0.2641748958025163027023855796,time,1.325629423989059389034190171,1.322657212688282548071142390,32
1x,A,holdout,AEP,2025-02-20,2025-02-21,2025-03-21,104.4021729990,100.4261164714710442954185100,105.0574459995,251,3.9760565275289557045814900,2.510,1.287160774894875875944965982,-0.7500333504698349024861871274,time,0.1648047496214144209890979469,0.1622896948351549278972702157,28
